,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG
70% ACWI - 30% AGG,0.289268868,0,0.163456794,0.061852418,0.019385753,0.014139161,0.000795425,0,0,0,0,0.029227769,0.009519331,0,0,0,0,0,0,0.041319754,0,0.011292392,0.094355906,0,0.012287377,0,0,-0.040749046,0,0,0,0,0,0.00688153,0,0.001258513,0.070876652
70% ACWI - 30% AGGU,0.249282987,0.00485934,0.087094865,0.05932909,0.038904235,0.029572191,0,0,0.004280598,0,0.001502088,0.045146167,0.017714101,0.007488859,0,0,0.004475573,0,0,0,0.026666765,0.02455351,0.043482117,0.024263777,0.021667509,0,0,-0.059040854,0,0.004206282,0,0,0,0.004884264,0,0.026144933,0.076808105
70% ACWI - 30% MUB,0.303873926,0.004447436,0.163263876,0.061286332,0.014715335,0.009293604,0,0,-0.014647279,0,0.006886975,0.036603986,0.001732783,0,0,0,0.007762261,0,0,0.025270515,0.004519173,0.033210112,0.081351709,0,0.011846164,0,0.01507038,-0.013040569,0,0,0,0,-0.012827475,0.016174533,0,0.001159704,0.052727932
80% ACWI - 20% AGG,0.357471673,0,0.180833474,0.074638162,0.017168216,0.01698922,0,0,0,0,0,0.033900217,0.006546701,0,-0.002028606,0,0.000269444,0,0,0.02922911,0,0.018979006,0.053153589,0,0.013036595,0,0,-0.043197864,0,0,0,0,-0.002755298,0.00869429,0,0.000526257,0.068589658
80% ACWI - 20% AGGU,0.318314061,0.004370639,0.128544459,0.071661302,0.031444462,0.028258729,0,0,0.001007064,0,0,0.047252203,0.011081691,0.009104614,-0.000397984,0,0.003222214,0,0,0,0,0.028711166,0.028055556,0.005572337,0.021017799,0,0,-0.063371495,0,0.000264173,0,0,0,0.007468664,0,0.018864506,0.081381029
80% ACWI - 20% MUB,0.355860345,0.004548633,0.17975294,0.074284843,0.015476589,0.013995002,0,0,-0.008911585,0,0.001136838,0.040544758,0.001744384,0,0,0,0.007920144,0,0,0.018100793,0,0.036063865,0.048130482,0,0.014221033,0,0,-0.020724783,0,0,0,0,-0.008907902,0.014914082,0,0.001855195,0.061525902
abrdn-Emerg Mrkt Corp Bond I Acc HCHF,0,-0.021800437,0,0.08551747,-0.026734874,-0.06674146,0,0.019812871,-0.031082095,-0.008007333,0,-0.000577724,0.002408315,-0.052338739,-0.050449879,0,0.001124005,-0.040081989,0,-0.073590461,-0.054859523,0,0,0,-0.080571492,0.122905461,0.768277857,0,-0.032287335,0,-0.042705713,0,0,0.016609249,0,0.102425272,0
abrdn-Emerg Mrkt Corp Bond I Acc HEUR,-0.021190751,-0.023798421,0,0.120120358,-0.029420713,-0.037742485,0.007574746,0.071019227,-0.043735132,-0.048954688,-0.002222603,-0.030124122,0.02062235,-0.004773477,-0.058743566,0,0.019300319,-0.043875979,0,-0.064264859,-0.051210334,0,0,0,-0.082824795,0.210759496,0.680076372,0,-0.172037621,-0.011289071,-0.039684229,-0.052430938,-0.004995866,0.031716444,0,0.090004828,0
abrdn-Emerg Mrkt Corp Bond I Acc USD,0,-0.009873391,0,0.116964493,-0.03176047,-0.039664561,0.001860595,0.05795184,-0.041707224,-0.048161555,-0.007187497,-0.022849979,0.013783864,-0.009188572,-0.052685381,0,0.012310034,-0.047176189,0,-0.055929601,-0.050028661,0,0,0,-0.086037571,0.207165341,0.671385443,0,-0.16632068,-0.012537647,-0.017998401,-0.056356607,-0.001429213,0.032792219,0,0.085216243,0
abrdn-Emerg Mrkt Corp Bond I M Inc HGBP,-0.003132423,-0.016853113,0,0.087132434,-0.029306192,-0.073814525,0,0.031110646,-0.03289037,-0.004701958,0,-0.013055693,0.015316596,-0.062146053,-0.053271489,0,0.001672968,-0.037718116,0,-0.078596274,-0.050452836,0,0,0,-0.083090497,0.134930148,0.776903332,0,-0.040222961,0,-0.048685812,0,0,0.014545559,0,0.103235978,0
Acasta Global Fund Class D,0,0,0,0.042245209,0.000173558,-0.067344304,0.061785811,0,-0.017742628,-0.085938816,0,0.033683063,0.017363363,0.005486011,-0.013290408,0.023840931,0.026185809,-0.029424681,0,0,-0.254709612,0.039726458,0,0,-0.039818329,0.082263686,0.117959401,0,0,-0.014311555,0,0,0,0.006605851,0.244705927,0.049787363,0
AIA Hedge Fund Strategies - Absolute Return,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return CHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005799968,-0.042582464,0,0,0,-0.014517579,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return EUR,0,0,0,0,0,0,0,0,-0.004747152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014551772,-0.041426015,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return GBP,0,0,0,0,0,0,0,0,-0.003052096,0,0,0,0,-0.016332419,0,0,0,0,0,0,0,0,0,0,-0.007574389,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return USD,0,0,0,0,0,0,0,0,-0.004345941,0,0,0,0,-0.014213413,0,0,0,0,0,0,0,0,0,0,-0.010487125,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Absolute Return USD Class C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA Hedge Fund Strategies - Equity Hedge,0,0,0,0.035958214,0,0.125473243,0,0,-0.036171469,0,0,0.087231881,0,0,-0.115977539,0,0.146257927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018205828,0,0.027937382,0
AIA Hedge Fund Strategies - Equity Hedge CHF,0,0,0,0,0,0,0,0,0,0,0,0.050419605,0,0,0,0,0.031512971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006549676,0
AIA Hedge Fund Strategies - Equity Hedge EUR,0,0,0,0,0,0,0,0,0,0,0,0.045996064,0,0,0,0,0.035305901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006988143,0
AIA Hedge Fund Strategies - Equity Hedge GBP,0,0,0,0,0,0,0,0,0,0,0,0.052189856,0,0,0,0,0.034205534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000893866,0
AIA Hedge Fund Strategies - Equity Hedge USD,0,0,0,0,0,0,0,0,0,0,0,0.052976137,0,0,0,0,0.030636165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002920247,0
AIA Hedge Fund Strategies - Equity Hedge USD Class C,0,0,0,0,0,0,0.074461673,0,0,0,0,0.032932969,0.147269073,0,0,0,0.145156177,0,0,0,0,0,0,0,-0.051207367,0,0,0,0,0,0,0,0,-0.032602312,0,0,0
AIA ICAV Absolute Return Composite (CHF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA ICAV Absolute Return Composite (EUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA ICAV Absolute Return Composite (GBP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA ICAV Absolute Return Composite (USD Class C),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA ICAV Absolute Return Composite (USD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28E-18,0,0,0
AIA ICAV Alternative Credit Composite (CHF A1 Acc),0,0,0,0.015514354,0,0,0.011701609,0,0,0,0,0.000731918,0,0,0,0,0,0,0,-0.008771414,0,0,0,0,0,0,0.025955402,0,0,0,0,0,0,0.01490093,0,0.021659178,0
AIA ICAV Alternative Credit Composite (EUR A1 Acc),0,0,0,0.009763531,0,-0.004295464,0.010298412,0,0,0,-0.006639241,0.00559235,0,0,0,0,0,0,0,-0.022050022,0,0,0,0,0,0,0.057226204,0,0,0,0,0,0,0.011676736,0,0.024781584,0
AIA ICAV Alternative Credit Composite (GBP A1 Acc),0,0,0,0,0,0,0.012410859,0,0,-0.006744052,-0.00937098,0,0,-0.00542719,0,0,0,0,0,-0.040265762,0,0,0,0,-0.000491036,0.042236233,0.060717184,0.018654146,0,0,0,0,0,0.008259672,0,0.034924357,0
AIA ICAV Alternative Credit Composite (USD A1 Acc),0,0,0,0.014652964,0.012496515,-0.005776625,0.016020241,0,-0.001069129,-0.02616917,-0.017751702,0.021502248,-0.006040771,0.007241174,-0.006049982,0,0,-0.04195594,-0.00489352,-0.053497421,-0.070829849,0,0,0,0,0.067087916,0.110610505,0.043575117,0,0,0,0.009141061,-0.004799399,0.006059701,0.067485624,0.055066582,0
AIA ICAV Equity Hedge Composite (CHF),0,0,0,0.07904232,0,0.134445998,0,0.046514098,-0.033571831,0,0,0.136963074,0,0.0055819,-0.098455885,0.004224701,0.117584,0,0,0,0,0,0,0,-0.08307782,0,0,0,0,0,0,0,0,0.019563515,0,0.047878935,0
AIA ICAV Equity Hedge Composite (GBP),0,0,0,0.079459768,0,0.131749786,0,0.054652784,-0.029833069,0,0,0.138112207,0,0,-0.098730923,0.00267703,0.117336243,0,0,0,0,0,0,0,-0.092759541,0,0,0,0,0,0,0,0,0.018601241,0,0.049425295,0
AIA ICAV Equity Hedge Composite (USD),0,0,0,0,0.013044556,0.040284139,0,0,0,0,0,0.158850555,0,0,0,0,0.129985382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014713382,0,0,0
AIA ICAV Hedged Equity Composite (EUR),0,0,0,0.083059398,0,0.130133816,0,0.030903461,-0.026904627,0,0,0.136749227,0,0,-0.085159893,0.003683746,0.118991069,0,0,0,0,0,0,0,-0.084995594,0,0,0,0,0,0,0,0,0.01937584,0,0.049105038,0
AKO European Long Only Fund A1,0,0.750225818,0,-0.073177243,0.141357994,0,-0.114612568,0,-0.070982079,0.026536154,0,0.228587443,0,0,-0.028392502,0,0.047535023,0,0,0.055534651,0,0,0,0,0,0,0,0,-0.67727727,0,0,0,0,0.006824077,0,0.015649668,0
AKO Fund Ltd A2,0,0.42098309,0,-0.115569149,0.159500117,0.067255671,-0.133379838,0,-0.064589396,0,0,0.238535369,0,0.007174804,-0.020327117,-0.007725147,0,0.01459757,0,0.157407184,0,0,0,0,0,0,0,0.219095929,-0.173653052,0,0,0,0,-0.011680317,0,-0.008930867,0
AKO Global Fund Limited,0,0.144035132,0,-0.06936492,0.070950931,0,0,0,-0.041885559,0,0.105427732,0.063963676,0,0,-0.007396803,0,0.031646121,0.204789153,0,0.086257948,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007598282,0,0,0
AKO Global Fund ProForma,0,0.144035132,0,-0.06936492,0.070950931,0,0,0,-0.041885559,0,0.105427732,0.063963676,0,0,-0.007396803,0,0.031646121,0.204789153,0,0.086257948,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007598282,0,0,0
Akre Focus Instl,0,0,0,-0.079856039,0.037945124,0.009760727,0.068723189,0,-0.011709618,0.039379274,0,0.140797508,0,0,0,0,0.038503459,0,0.345357155,0.19013462,0,0,0,0,0,0,0,0,0,0,0,0,-0.000955392,0.01435427,0,0,0.364601196
Alerian MLP ETF,0,-0.243737783,0,-0.026329333,-0.090989886,0.053767939,0,0.807781473,0.666476011,-0.915491514,0,0.414590563,0,-0.030504338,-0.603564802,0.063907702,0.087079646,0,0.616179049,-0.408283856,0,0,0,1.118761188,-0.437585817,0.294900817,0.496019901,0,-0.206077416,0.047931096,-0.034692504,0,0.114494192,-0.186797393,0,0.161595295,0
Algebris Financial Credit I EUR Acc,0,0,0,0,0.035098431,-0.008235436,0.177056707,0,0,0,0,0.009832131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210739848,0.20159066,0,-0.11212286,0,-0.037483518,0,-0.020213982,-0.011327834,0,0,0
Algebris Financial Credit R USD Acc,0,0,0,0,0.048057387,0,0.178254043,0,0,0,0,0.016254554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100129673,0.157465432,0,0,0,0,0,0,-0.006777265,0,0.002440287,0
Alta Park Fund Ltd,0,0,0,0,0.040135455,0,0,0,-0.117893659,0,0,0.073808309,0.058282371,0,-0.074274051,0,0.190902532,0,0,0.040565686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042304254,0,0,0
AlTi International - Impact PE Composite,0.191515447,0,0,0,0.317000542,0,0,0,0.003434699,0,0,0,0,0,-0.004020143,0,0.014008268,0,0,-0.003272366,0,0,0,0,0,0.038730264,0,0,0,0,0,0,0,0.012586419,0,0,0.001385039
AlTi International - Impact Real Estate Composite,0,-0.03586386,0,0.017492468,0,0.00247997,-0.054160049,-0.004579729,-0.007723016,0,0.016445311,0.01368242,0,0,0,0,-0.009359855,0,0.130985883,0.023688993,0,0,0,0,0.001064242,-0.023008004,0,0,0,-0.050224341,0,0,0,-0.003953105,0,0.544832205,0
AlTi International - PE Composite,0.261383661,0,0,0.044277955,0.116414318,0.002679608,0,0,0.002023193,0,0,0.02731132,0.004115745,0,-0.039817843,0,0.019925862,0,0,0,-0.010975482,0,0,0.080470419,0,0.090897921,0,0,0,-0.011977593,0,0,0.002895424,0.009638272,0,0.011619039,0.04755798
AlTi International - Private Credit Composite,0,0,0,0.021006474,0.015978409,-0.02047999,0,0,0,0,-0.018341046,0,-0.020621463,0.000484772,-0.005899467,-0.025840517,0.001945171,0,0,-0.020220768,-0.068771623,0,0,0.602397866,0,0.120667899,0.028611511,0,-0.011389982,-0.034680825,0,-0.011477388,0.000122736,0.016646871,0.056353844,0.033027651,0
AlTi International - Real Estate Composite,0,-0.035685706,0,0.017426338,0,0.002198952,-0.05416185,-0.004736383,-0.00778173,0,0.016381195,0.013684371,0,0,0,0,-0.009282299,0,0.131341157,0.023687303,0,0,0,0,0.001037986,-0.022850059,0,0,0,-0.050277149,0,0,0,-0.0039167,0,0.544701071,0
AlTi Onshore - Buyout Composite,0.232390095,0,0.022811782,0.056194996,0.035381716,0.016033477,0.032994023,0,0.016325106,0,0,0.033901231,0,0,-0.008604771,0,0.003570172,0,0,-0.002553088,-0.000241675,0,0,0.109683256,0,0.126346492,0,0,0,-0.005936994,0,0,0.005875127,0.014890093,0,0.00628571,0.105147841
AlTi Onshore - Impact PE Composite,0.191515447,0,0,0,0.317000542,0,0,0,0.003434699,0,0,0,0,0,-0.004020143,0,0.014008268,0,0,-0.003272366,0,0,0,0,0,0.038730264,0,0,0,0,0,0,0,0.012586419,0,0,0.001385039
AlTi Onshore - PE Composite,0.233423032,0,0,0.02915627,0.169439408,0,0.010273616,0,0.013593949,0,0,0.015503581,0,0,-0.007408336,0,0.004408877,0,0,-0.000872046,0,0,0,0.016943799,0,0.106377528,0,0,-0.00396364,-0.004811941,0,0,0.004748159,0.013856303,0,0,0.070721035
AlTi Onshore - Private Credit Composite,0,-0.010619689,0,0.025838788,0.013663474,-0.012044285,0,0,0,-0.017876545,0,0.030342219,-0.024824736,0,0,-0.04919567,0,0,0,-0.0582426,-0.115253708,0.004354194,0,0.578972974,0,0.139125849,0.026939471,0.035992624,0,-0.003757169,0,0,0.000840206,0.016215654,0.127405878,0.024295262,0
AlTi Onshore - Real Estate Composite,0,-0.03586386,0,0.017492468,0,0.00247997,-0.054160049,-0.004579729,-0.007723016,0,0.016445311,0.01368242,0,0,0,0,-0.009359855,0,0.130985883,0.023688993,0,0,0,0,0.001064242,-0.023008004,0,0,0,-0.050224341,0,0,0,-0.003953105,0,0.544832205,0
AlTi Onshore - Venture Composite,0.038983288,-0.028291472,0,0,0.513363904,0,0,0,0.002586284,0,0,0,0,-0.055011006,-0.026384262,0,0.016567776,0,0.031029294,-0.017916764,-0.044056841,-0.053169793,0,0,0.003857846,0.038657391,0,0.009664365,0,-0.00207875,0,0,0.032879321,0.005214518,0,0,0
Apollo Debt Solutions Class I,0,0,0,0,0,-0.06622807,0,-0.039621165,0.005410813,0,0,0.025676179,0,0.006360833,0,0,0,0.051271781,0,-0.03924822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111502175,0.08773724,0
Apollo Debt Solutions ProForma,0,-0.018622618,0,0,0,-0.05069741,0,0.027767689,0.000805101,-0.020107712,0,0.065451952,-0.003458688,-0.022110923,-0.015929386,-0.017566013,0,0,0,-0.173143893,-0.121372038,0,0,0.160043843,0,0.113985542,0.229200802,0.067163925,-0.001575165,0,0,0,0.005039824,0.006531023,0.13464758,0.110505508,-0.044711997
Arcus Japan A Acc JPY,0,-0.679356336,1.763267074,0,0,0.050478252,0.033167012,0,0.048469479,0.038277252,-0.044362229,0.030665406,0.070135402,-0.017318031,-0.096523741,0.043167331,-0.27270469,0,0,-0.223835269,-0.246240877,0,0,-0.055065085,0,-0.011066705,-0.091474296,0,-0.069950031,-0.583934917,0,-0.172735643,-0.012296768,0.069625584,0,-0.091816119,0
Arcus Japan A Acc USD H,0,-0.641352926,1.740587761,0,0,0.038438775,0.029359494,0,0.049111897,0.012460667,-0.04810305,0.028370226,0.070265392,-0.010355754,-0.100472204,0.044620906,-0.256586898,0,0,-0.232129826,-0.224180049,0,0,-0.007071318,-0.016345895,-0.039000726,-0.066675701,0,-0.032158359,-0.605671342,0,-0.193538737,-0.002518451,0.073271812,0,-0.088320723,0
Artisan International Value Advisor,0,0.373354622,0.13288003,0.080038153,0.014449382,0,0.04372375,0,0.029774659,0.01616924,0.0254119,0.014969144,-0.005917652,0,-0.072207597,0.108281778,-0.063334336,0,0.002314029,-0.05641444,0,0,0,0,0,0.170839223,0.036822343,0,0,-0.041950096,0,0,0.013947889,0.001392941,0,0.096604971,0
AXAWF US High Yield Bonds I Cap CHF H,0,-0.045929028,-0.007083923,-0.011183545,0.008210198,-0.013560073,0.012721952,0.001850902,-0.0119396,-0.012293906,0.024352239,0,-0.024386488,0.060485267,0,-0.013356265,0.032767072,-0.063351109,-0.090985775,-0.042507778,-0.174053205,0.053593534,0.065815227,0.691547067,-0.01197886,0.052893741,-0.012004802,-0.077881893,-0.026660452,0,0.037497254,-0.047343674,-0.030420191,0.028994234,0.241838007,0.035149806,0.092074319
AXAWF US High Yield Bonds I Cap GBP H,0,0,0,0,0.004389837,-0.034211965,0,0,-0.005597419,0,-0.003410833,0,-0.007215369,0.025250325,0,0,0.013358845,0,-0.00804745,-0.013469683,0,0.01815896,0,0.703130678,-0.03176517,0.039760429,0,0,0,0,0,-0.031190528,-0.017135952,0.024482526,0.078465995,0.019703846,0.018421705
AXAWF US High Yield Bonds I Cap USD,0,0,0,0,0.017922715,0,0.004611832,0,0,0,0,0.011473241,0,0.009886319,0,0,0,0,0,0,0,0,0,0.65146114,0,0.03524251,0,0,0,0,0,0,-0.006288523,0.015802769,0,0.006053112,0
BA Beutel Goodman US Val SI USD Acc UnH,0,-0.138638554,0,0.026621447,-0.131712799,0.081970601,0.053527715,0,0.06522589,0.161097132,0.19102119,-0.001533803,0,0.042390032,-0.060282025,0.383668557,-0.045932093,-0.000482364,0,0.076609585,0,0,0,0.162741557,-0.031788623,-0.042533897,0,-0.234310404,0,-0.161605053,0,-0.063188641,0,0,0,-0.034887081,0.31438179
Beutel Goodman Large Cap Value Proforma,0,0,0,0,0,0.086081918,0.046224984,0,0.044574639,0.117390234,0.09055938,0,0,0,0,0.402147647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009932782,0,0,0.136860193
BGF Continental Eurp Flex D2 EUR,0,0.723747105,0,-0.078053179,0.206965667,0,-0.109429443,0,-0.14133755,0.187208594,-0.104042099,0.054783974,0,0.04802025,-0.14590844,-0.018407278,0.136478501,0.007543183,0,0,-0.192706823,-0.061344736,0.074186115,0,-0.017746952,0.070620359,0.029456486,0.132719423,-0.417278108,0,0,0,-0.026010925,0,0.007482164,0.142043727,0
BGF Continental Eurp Flex D2 EUR.1,0,0.515737373,0,0,0.219904772,0,0,0,-0.148820006,0.186675032,0,0,0,0.12283977,-0.11998194,0,0.147037848,0,0,0,0,0,0,0,0,0.155042509,0,0,0,0,0,0,0,0.000883103,0,0.021799424,0
BH Macro GBP Ord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00509054,0,0,0
Bin Yuan Greater China (Composite),0,0,0,0.863141225,0,0,0,0,-0.144422787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlackRock European Dynamic A Acc,0,0.383751368,0,-0.083009937,0.183291074,0,-0.062170138,0,-0.145099343,0.028590176,-0.046595403,0,0,0.163012454,-0.04954788,0,0.235369205,0,0,0,-0.078096692,0,0,0,-0.017255757,0.097260505,0.147740529,0.205995748,-0.039412265,0,0,0,-0.050183269,0,0,0.070644073,0
BlackRock European Dynamic FD Acc,0,0.383005537,0,-0.084296558,0.18317907,0,-0.062534262,0,-0.146056776,0.028933416,-0.0459194,0,0,0.163909963,-0.049365534,0,0.235787559,0,0,0,-0.076457569,0,0,0,-0.019837253,0.097522762,0.150025668,0.206483469,-0.037932212,0,0,0,-0.05003046,0,0,0.070975442,0
BlackRock ICS Euro Liq Prem (Acc T0) EUR,0,0,0,0,0,-0.00125251,0.002488782,0,0,0,0,0,0.006482125,-0.00292632,0,0,0,0,0,-0.003161022,0,0,0,0,0,0,0,0,0,0,0,-0.007863108,0.005761737,0.001690872,0,0,0
BlackRock ICS Euro Liq Prem Acc EUR,0,0,0,0,0,-0.001121081,0.002529684,0,0,0,0,0,0.007294655,-0.00373369,0,0,0,0,0,-0.00343227,0,0,0,0,0,0,0,0,0,0,0,-0.007097175,0.006166799,0.001388175,0,0,0
BlackRock ICS Sterling Liq Premier Acc,0,0,0,0,0,-0.000967731,0.002676936,0,0,0,0,0,0.007751389,-0.004067811,0,0,0,0,0,-0.004143501,0,0,0,0,-3.59E-05,0,0,0,0,0,0,-0.009332025,0.007753025,0.00178967,0,0,0
BlackRock ICS USD Liquidity Prem Acc,0,0,0,0,0,-0.00010004,0.002804388,0,0,0,-0.001278566,0,0.007954353,-0.003280752,0,0,0,0,0,-0.002389907,0,0,0,0,-0.001004285,0,0,0,0,0,0,-0.015204195,0.008920099,0.003781429,0,0,0
BlackRock ICS USD Liquidity Prem T0 Acc,0,0,0,0,-0.001906059,0,0.000595657,0,0.003958834,0,0,-0.002059681,0.013844032,-0.001087121,0,0,0,0,0,-0.006758202,0,0,0,0,-0.001015621,0,0,0,0,0,0,-0.032121077,0.01013164,0.006805404,0,0,0
Bloomberg Commodity TR USD,0,0,0,0.034908826,0,0,0,0,0,0,0,0,0,0,0.020242766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696858481,0.050338964,-0.01071906,0,0,0
